read_id	transcript_id
m54284U_191110_105540/124781328/ccs	transcript_1.known
m54284U_191110_105540/49480440/ccs	transcript_1.known
m54284U_191110_105540/169215716/ccs	transcript_1.known
m54284U_191111_172039/147128662/ccs	transcript_1.known
m54284U_191110_105540/33227796/ccs	transcript_1.known
m54284U_191111_172039/19597933/ccs	transcript_1.known
m54284U_191111_172039/98304946/ccs	transcript_1.known
m54284U_191110_105540/26804348/ccs	transcript_1.known
m54284U_191110_105540/11993296/ccs	transcript_1.known
m54284U_191110_105540/68094615/ccs	transcript_1.known
m54284U_191111_172039/65929367/ccs	transcript_1.known
m54284U_191111_172039/69926928/ccs	transcript_1.known
m54284U_191110_105540/126812689/ccs	transcript_1.known
m54284U_191111_172039/156173620/ccs	transcript_1.known
m54284U_191110_105540/41683382/ccs	transcript_1.known
m54284U_191110_105540/67111454/ccs	transcript_1.known
m54284U_191111_172039/6620542/ccs	transcript_1.known
m54284U_191111_172039/3997718/ccs	transcript_1.known
m54284U_191110_105540/109972237/ccs	transcript_1.known
m54284U_191110_105540/92668777/ccs	transcript_1.known
m54284U_191110_105540/116591120/ccs	transcript_1.known
m54284U_191111_172039/118293984/ccs	transcript_1.known
m54284U_191111_172039/150340730/ccs	transcript_1.known
m54284U_191111_172039/179833150/ccs	transcript_1.known
m54284U_191111_172039/65145617/ccs	transcript_1.known
m54284U_191111_172039/14354545/ccs	transcript_1.known
m54284U_191110_105540/82904993/ccs	transcript_1.known
m54284U_191111_172039/116851452/ccs	transcript_1.known
m54284U_191111_172039/45157190/ccs	transcript_1.known
m54284U_191111_172039/101976260/ccs	transcript_1.known
m54284U_191111_172039/72812504/ccs	transcript_1.known
m54284U_191111_172039/158859687/ccs	transcript_1.known
m54284U_191110_105540/88279805/ccs	transcript_1.known
m54284U_191111_172039/46794426/ccs	transcript_1.known
m54284U_191111_172039/81592743/ccs	transcript_1.known
m54284U_191111_172039/118294386/ccs	transcript_1.known
m54284U_191111_172039/118687813/ccs	transcript_1.known
m54284U_191111_172039/93784200/ccs	transcript_1.known
m54284U_191110_105540/5833610/ccs	transcript_1.known
m54284U_191110_105540/110102499/ccs	transcript_1.known
m54284U_191111_172039/94898025/ccs	transcript_1.known
m54284U_191111_172039/20578544/ccs	transcript_1.known
m54284U_191111_172039/3343662/ccs	transcript_1.known
m54284U_191111_172039/167184410/ccs	transcript_1.known
m54284U_191110_105540/55575340/ccs	transcript_1.known
m54284U_191110_105540/111806208/ccs	transcript_1.known
m54284U_191111_172039/151781774/ccs	transcript_1.known
m54284U_191110_105540/76023940/ccs	transcript_1.known
m54284U_191111_172039/168035020/ccs	transcript_1.known
m54284U_191110_105540/147655191/ccs	transcript_1.known
m54284U_191111_172039/152701191/ccs	transcript_1.known
m54284U_191111_172039/100140656/ccs	transcript_1.known
m54284U_191111_172039/145162333/ccs	transcript_1.known
m54284U_191110_105540/144834960/ccs	transcript_1.known
m54284U_191110_105540/141558433/ccs	transcript_1.known
m54284U_191111_172039/120785431/ccs	transcript_1.known
m54284U_191110_105540/34343312/ccs	transcript_1.known
m54284U_191110_105540/74253045/ccs	transcript_1.known
m54284U_191111_172039/21562590/ccs	transcript_1.known
m54284U_191110_105540/67110136/ccs	transcript_1.known
m54284U_191111_172039/100468923/ccs	transcript_1.known
m54284U_191111_172039/75040555/ccs	transcript_1.known
m54284U_191111_172039/118098034/ccs	transcript_1.known
m54284U_191111_172039/72550425/ccs	transcript_1.known
