read_id	transcript_id
m54284U_191111_172039/84020054/ccs	transcript_1.known
m54284U_191110_105540/2164479/ccs	transcript_1.known
m54284U_191110_105540/177406048/ccs	transcript_1.known
m54284U_191111_172039/159056080/ccs	transcript_1.known
m54284U_191110_105540/18416098/ccs	transcript_1.known
m54284U_191111_172039/128385078/ccs	transcript_1.known
m54284U_191111_172039/107742389/ccs	transcript_1.known
m54284U_191110_105540/1509286/ccs	transcript_1.known
m54284U_191110_105540/84804844/ccs	transcript_1.known
m54284U_191110_105540/143525492/ccs	transcript_1.known
m54284U_191111_172039/53741708/ccs	transcript_1.known
m54284U_191111_172039/128845725/ccs	transcript_1.known
m54284U_191111_172039/75564438/ccs	transcript_1.known
m54284U_191111_172039/160172180/ccs	transcript_1.known
m54284U_191111_172039/117442719/ccs	transcript_1.known
m54284U_191110_105540/134088483/ccs	transcript_1.known
m54284U_191110_105540/52626082/ccs	transcript_1.known
m54284U_191110_105540/112067447/ccs	transcript_1.known
m54284U_191110_105540/19203041/ccs	transcript_1.known
m54284U_191111_172039/69994050/ccs	transcript_1.known
m54284U_191110_105540/37225581/ccs	transcript_1.known
m54284U_191110_105540/135793464/ccs	transcript_1.known
m54284U_191111_172039/71959988/ccs	transcript_1.known
m54284U_191111_172039/42928740/ccs	transcript_1.known
m54284U_191110_105540/47383419/ccs	transcript_1.known
m54284U_191111_172039/80677622/ccs	transcript_1.known
m54284U_191110_105540/133630381/ccs	transcript_1.known
m54284U_191111_172039/176359898/ccs	transcript_1.known
m54284U_191110_105540/121047450/ccs	transcript_1.known
m54284U_191111_172039/152831759/ccs	transcript_1.known
m54284U_191111_172039/31261154/ccs	transcript_1.known
m54284U_191110_105540/174262250/ccs	transcript_1.known
m54284U_191110_105540/24052219/ccs	transcript_1.known
m54284U_191111_172039/138347172/ccs	transcript_1.known
m54284U_191110_105540/121766741/ccs	transcript_1.known
m54284U_191111_172039/67306151/ccs	transcript_1.known
m54284U_191111_172039/88802501/ccs	transcript_1.known
m54284U_191110_105540/107612330/ccs	transcript_1.known
m54284U_191111_172039/83034165/ccs	transcript_1.known
m54284U_191110_105540/45155982/ccs	transcript_1.known
m54284U_191110_105540/158335960/ccs	transcript_1.known
m54284U_191111_172039/47054869/ccs	transcript_1.known
m54284U_191111_172039/16515671/ccs	transcript_1.known
m54284U_191111_172039/101845602/ccs	transcript_1.known
m54284U_191111_172039/62195185/ccs	transcript_1.known
m54284U_191110_105540/15272309/ccs	transcript_1.known
m54284U_191111_172039/64882674/ccs	transcript_1.known
m54284U_191110_105540/38339643/ccs	transcript_1.known
m54284U_191111_172039/154208642/ccs	transcript_1.known
m54284U_191110_105540/27787502/ccs	transcript_1.known
m54284U_191111_172039/50790702/ccs	transcript_1.known
m54284U_191110_105540/101122865/ccs	transcript_1.known
m54284U_191110_105540/143657407/ccs	transcript_1.known
m54284U_191110_105540/20054496/ccs	transcript_1.known
m54284U_191110_105540/20645594/ccs	transcript_1.known
m54284U_191110_105540/154535951/ccs	transcript_1.known
m54284U_191110_105540/177080170/ccs	transcript_1.known
m54284U_191111_172039/66456210/ccs	transcript_1.known
m54284U_191110_105540/166660458/ccs	transcript_1.known
m54284U_191111_172039/137233732/ccs	transcript_1.known
m54284U_191110_105540/144640837/ccs	transcript_1.known
m54284U_191111_172039/165086560/ccs	transcript_1.known
m54284U_191110_105540/74779202/ccs	transcript_1.known
m54284U_191111_172039/14091148/ccs	transcript_1.known
m54284U_191110_105540/115867667/ccs	transcript_1.known
m54284U_191110_105540/163053640/ccs	transcript_1.known
m54284U_191111_172039/164627612/ccs	transcript_1.known
m54284U_191111_172039/43584248/ccs	transcript_1.known
m54284U_191111_172039/74910072/ccs	transcript_1.known
m54284U_191111_172039/24839445/ccs	transcript_1.known
m54284U_191111_172039/24250075/ccs	transcript_1.known
m54284U_191111_172039/52430899/ccs	transcript_1.known
m54284U_191111_172039/56296704/ccs	transcript_1.known
m54284U_191110_105540/64882292/ccs	transcript_1.known
m54284U_191111_172039/70844527/ccs	transcript_1.known
m54284U_191111_172039/150603217/ccs	transcript_1.known
m54284U_191110_105540/143656940/ccs	transcript_1.known
m54284U_191111_172039/81985826/ccs	transcript_1.known
m54284U_191111_172039/85329647/ccs	transcript_1.known
m54284U_191111_172039/91621127/ccs	transcript_1.known
m54284U_191110_105540/93652896/ccs	transcript_1.known
m54284U_191111_172039/145883211/ccs	transcript_1.known
m54284U_191111_172039/46664374/ccs	transcript_1.known
m54284U_191110_105540/67765105/ccs	transcript_1.known
m54284U_191110_105540/93782681/ccs	transcript_1.known
m54284U_191111_172039/138282378/ccs	transcript_1.known
m54284U_191110_105540/72024300/ccs	transcript_1.known
m54284U_191111_172039/163644773/ccs	transcript_1.known
m54284U_191111_172039/129435188/ccs	transcript_1.known
m54284U_191110_105540/104858047/ccs	transcript_1.known
m54284U_191110_105540/141624399/ccs	transcript_1.known
m54284U_191110_105540/121570857/ccs	transcript_1.known
m54284U_191110_105540/92078170/ccs	transcript_1.known
m54284U_191111_172039/57215831/ccs	transcript_1.known
m54284U_191110_105540/33490038/ccs	transcript_1.known
m54284U_191110_105540/26411229/ccs	transcript_1.known
m54284U_191111_172039/20251942/ccs	transcript_1.known
m54284U_191111_172039/37488180/ccs	transcript_1.known
m54284U_191111_172039/121440677/ccs	transcript_1.known
m54284U_191111_172039/42861980/ccs	transcript_1.known
m54284U_191111_172039/32441953/ccs	transcript_1.known
m54284U_191110_105540/168954136/ccs	transcript_1.known
m54284U_191111_172039/88869710/ccs	transcript_1.known
m54284U_191111_172039/127797613/ccs	transcript_1.known
m54284U_191110_105540/170132700/ccs	transcript_1.known
m54284U_191111_172039/109708842/ccs	transcript_1.known
m54284U_191111_172039/50987323/ccs	transcript_1.known
m54284U_191110_105540/103745971/ccs	transcript_1.known
m54284U_191111_172039/124389679/ccs	transcript_1.known
m54284U_191111_172039/124651504/ccs	transcript_1.known
m54284U_191111_172039/128647547/ccs	transcript_1.known
m54284U_191110_105540/11274721/ccs	transcript_1.known
m54284U_191111_172039/139527741/ccs	transcript_1.known
m54284U_191110_105540/84346833/ccs	transcript_1.known
m54284U_191110_105540/61997153/ccs	transcript_1.known
m54284U_191111_172039/68616382/ccs	transcript_1.known
m54284U_191110_105540/52495394/ccs	transcript_1.known
m54284U_191111_172039/20318048/ccs	transcript_1.known
m54284U_191111_172039/110299654/ccs	transcript_1.known
m54284U_191110_105540/41157986/ccs	transcript_1.known
m54284U_191111_172039/1050712/ccs	transcript_1.known
m54284U_191111_172039/95225655/ccs	transcript_1.known
m54284U_191110_105540/44761937/ccs	transcript_1.known
m54284U_191111_172039/91029617/ccs	transcript_1.known
m54284U_191111_172039/95225830/ccs	transcript_1.known
m54284U_191110_105540/41027510/ccs	transcript_1.known
m54284U_191111_172039/67832309/ccs	transcript_1.known
m54284U_191111_172039/63832688/ccs	transcript_1.known
m54284U_191111_172039/110758119/ccs	transcript_1.known
m54284U_191111_172039/101975162/ccs	transcript_1.known
m54284U_191111_172039/131663675/ccs	transcript_1.known
m54284U_191110_105540/96143275/ccs	transcript_1.known
m54284U_191111_172039/51773833/ccs	transcript_1.known
m54284U_191111_172039/26149931/ccs	transcript_1.known
m54284U_191111_172039/30999616/ccs	transcript_1.known
m54284U_191111_172039/113116769/ccs	transcript_1.known
m54284U_191111_172039/166267131/ccs	transcript_1.known
m54284U_191111_172039/158337352/ccs	transcript_1.known
m54284U_191110_105540/17039743/ccs	transcript_1.known
m54284U_191110_105540/162466244/ccs	transcript_1.known
m54284U_191110_105540/2753728/ccs	transcript_1.known
m54284U_191111_172039/28314008/ccs	transcript_1.known
m54284U_191111_172039/31852473/ccs	transcript_1.known
m54284U_191111_172039/44367936/ccs	transcript_1.known
m54284U_191111_172039/48235849/ccs	transcript_1.known
m54284U_191111_172039/137430397/ccs	transcript_1.known
m54284U_191110_105540/93061978/ccs	transcript_1.known
