ID	00_NA12878-DirectRNA_All_Guppy_3.2.6.T.hg38wSIRV.sorted
transcript_1.known	161.00
transcript_2.known	10.00
transcript_3.known	79.00
transcript_4.known	5.00
transcript_5.known	1.00
transcript_6.known	3.00
transcript_7.known	11.00
transcript_8.known	6.00
transcript_9.known	32.00
transcript_10.known	1.00
transcript_11.known	1.00
transcript_12.known	2.00
transcript_13.known	164.00
transcript_14.known	1.00
transcript_15.known	2.00
transcript_16.known	133.00
transcript_17.known	6.00
transcript_18.known	3.00
transcript_19.known	38.00
transcript_20.known	215.00
transcript_21.known	11.00
transcript_22.known	6.00
transcript_23.known	1.00
transcript_24.known	24.00
transcript_25.known	136.67
transcript_26.known	115.50
transcript_27.known	137.67
transcript_28.known	109.17
transcript_29.known	941.00
transcript_30.known	243.00
transcript_31.known	347.50
transcript_33.nnic	24.00
transcript_34.known	263.17
transcript_35.known	162.17
transcript_36.known	385.17
transcript_37.known	395.50
transcript_38.known	965.00
transcript_39.known	289.00
transcript_41.known	92.25
transcript_42.known	327.75
transcript_43.known	202.50
transcript_44.known	332.00
transcript_45.known	157.25
transcript_46.known	179.00
transcript_47.known	318.00
transcript_48.known	184.00
transcript_49.known	564.00
transcript_50.known	184.00
transcript_52.known	294.00
transcript_53.known	288.00
transcript_54.known	447.67
transcript_55.known	434.67
transcript_56.known	165.25
transcript_65.known	154.42
transcript_66.known	275.12
transcript_67.known	739.96
transcript_68.known	226.13
transcript_69.known	122.17
transcript_70.known	585.67
transcript_113.nnic	18.00
transcript_89.known	351.24
transcript_90.known	455.50
transcript_91.known	430.23
transcript_92.known	560.93
transcript_93.known	117.64
transcript_94.known	261.74
transcript_95.known	131.61
transcript_96.known	321.00
transcript_97.known	286.33
transcript_139.known	0.50
transcript_156.known	2.00
transcript_157.known	13.00
transcript_188.known	192.00
transcript_189.known	59.50
transcript_192.known	19.50
transcript_193.known	26.50
transcript_194.known	12.50
transcript_195.known	9.50
transcript_196.known	1968.50
transcript_205.known	150.83
transcript_206.known	66.83
transcript_210.known	92.67
transcript_215.known	14.28
transcript_216.known	1.45
transcript_218.known	2.00
transcript_219.known	33.50
transcript_220.known	33.00
transcript_221.known	42.33
transcript_222.known	501.17
transcript_223.known	10.00
transcript_224.known	28.00
transcript_226.known	47.86
transcript_227.known	164.36
transcript_228.known	1.27
transcript_229.known	82.00
transcript_230.known	8.09
transcript_231.known	183.39
transcript_232.known	17.83
transcript_233.known	20.43
transcript_235.known	133.00
transcript_236.known	28.83
transcript_237.known	151.92
transcript_238.known	480.92
transcript_239.known	169.92
transcript_240.known	250.25
transcript_271.known	68.83
