ID	ENCFF450VAU	ENCFF694DIE
transcript_1.known	2538	4775
transcript_10.known	2	4
transcript_100.nnic	6	7
transcript_1000.known	2	3
transcript_10000.known	15	16
transcript_10001.known	14	14
transcript_10002.known	0	2
transcript_10003.known	1	0
transcript_10005.known	43	66
transcript_10006.known	0	1
transcript_1001.known	1	4
transcript_10010.nnic	6	8
transcript_10011.known	4	7
transcript_10012.known	13	17
transcript_10013.known	16	13
transcript_10014.known	5	15
transcript_10015.known	978	1631
transcript_10016.known	62	75
transcript_10017.known	0	1
transcript_10018.known	195	259
transcript_1002.known	8	9
transcript_10020.known	1	0
transcript_10021.nnic	4	5
transcript_10022.nic	7	8
transcript_10023.known	205	361
transcript_10024.known	37	51
transcript_10025.known	6	10
transcript_10026.known	2	6
transcript_10028.nic	6	6
transcript_10029.known	0	1
transcript_1003.known	1	0
transcript_10030.known	1	4
transcript_10031.known	206	326
transcript_10032.known	4	2
transcript_10043.nnic	2	0
transcript_10044.nnic	4	4
transcript_10048.known	98	114
transcript_10049.known	1	1
transcript_1005.known	42	82
transcript_10050.known	1	0
transcript_10051.known	1	3
transcript_10052.known	3	6
transcript_10053.nic	2	1
transcript_10055.nnic	2	9
transcript_1006.known	0	1
transcript_10065.nnic	5	10
transcript_1007.known	1	2
transcript_10074.known	79	138
transcript_10075.known	0	1
transcript_10077.known	1	1
transcript_10083.known	123	121
transcript_10086.nnic	12	15
transcript_10087.nnic	5	3
transcript_10088.known	8	2
transcript_10089.known	4	1
transcript_10090.known	2	1
transcript_10091.known	1	0
transcript_10093.known	27	26
transcript_10094.known	2	3
transcript_10095.known	1	3
transcript_10096.known	7	7
transcript_10097.known	5	8
transcript_10098.nnic	8	18
transcript_10099.known	11	4
transcript_10100.known	1	1
transcript_10101.known	1	0
transcript_10102.known	1	7
transcript_10103.known	0	1
transcript_10104.known	264	232
transcript_10105.known	10	7
transcript_10106.known	1	0
transcript_10107.known	200	265
transcript_10108.known	3	6
transcript_10109.nic	1	6
transcript_1011.nic	5	3
transcript_10112.nic	9	15
transcript_10113.known	1	1
transcript_10114.known	128	145
transcript_10115.known	3527	4813
transcript_10116.known	44	41
transcript_10117.known	86	156
transcript_10119.known	0	1
transcript_1012.known	2	4
transcript_10127.nnic	4	11
transcript_10129.nnic	20	44
transcript_1013.known	211	243
transcript_10130.nnic	7	3
transcript_10131.known	532	796
transcript_10132.known	61	40
transcript_10133.known	20	25
transcript_10134.known	126	208
transcript_10135.known	0	4
transcript_10136.known	91	157
transcript_10137.known	11	15
transcript_10138.known	6	3
transcript_10139.known	4	3
transcript_10140.known	0	2
transcript_10142.nic	3	8
transcript_10143.nnic	2	7
transcript_10145.nnic	2	7
transcript_10146.known	81	20
transcript_1015.nic	6	17
transcript_10150.known	34	2
transcript_10151.known	6	0
transcript_10152.known	1	1
transcript_10153.known	0	1
transcript_10154.known	1	1
transcript_10155.known	1	0
transcript_10156.known	0	1
transcript_10158.known	0	1
transcript_10159.known	2	5
transcript_10160.known	1	1
transcript_10161.known	22	17
transcript_10162.known	20	10
transcript_10163.known	3	3
transcript_10166.known	8	0
transcript_10167.known	14	9
transcript_10168.known	45	37
transcript_10169.known	3	3
transcript_10170.known	81	56
transcript_10171.known	15	8
transcript_10172.known	1	3
transcript_10173.known	44	70
transcript_10174.known	0	1
transcript_10175.known	3	5
transcript_10176.nic	4	6
transcript_1018.known	46	67
transcript_10180.nnic	2	7
transcript_10181.known	1374	1407
transcript_10182.known	41	54
transcript_10183.known	49	55
transcript_1019.known	4	3
transcript_1020.known	416	351
transcript_10206.nnic	1	2
transcript_1021.known	0	2
transcript_10227.nic	18	22
transcript_10232.nic	2	0
transcript_10233.nic	107	87
transcript_10235.nnic	13	11
transcript_10243.nic	14	11
transcript_1026.known	0	1
transcript_10261.known	11	16
transcript_10262.known	243	172
transcript_10263.known	3	0
transcript_10264.known	14	9
transcript_10265.known	4	10
transcript_10267.known	1	1
transcript_10268.known	1	0
transcript_10269.known	179	144
transcript_10270.known	73	87
transcript_10271.known	2417	1469
transcript_10273.known	12	13
transcript_10274.known	4	2
transcript_10275.known	1	1
transcript_10276.known	0	2
transcript_10277.known	3	11
transcript_10279.nic	12	13
transcript_10282.nnic	6	0
transcript_10283.known	1	2
transcript_10284.known	1	4
transcript_10285.known	349	476
transcript_10286.known	22	21
transcript_10287.known	241	434
transcript_10288.known	3	5
transcript_10290.known	10	7
transcript_10294.known	175	310
transcript_10295.known	10	25
transcript_10296.known	18	34
transcript_10297.known	146	215
transcript_10298.known	36	60
transcript_10300.known	2	4
transcript_10301.known	4	7
transcript_10302.known	57	113
transcript_10304.known	1	0
transcript_10306.known	0	1
transcript_10308.known	91	92
transcript_1031.known	1	2
transcript_10313.known	7	3
transcript_10314.known	17	27
transcript_10315.known	62	60
transcript_10318.known	45	33
transcript_10319.known	0	3
transcript_1032.known	87	93
transcript_10320.known	3	5
transcript_10321.known	86	21
transcript_10322.known	3	5
transcript_10323.known	10	4
transcript_10324.known	20	22
transcript_10325.known	2	0
transcript_10326.known	817	1047
transcript_10328.known	392	493
transcript_1033.known	404	421
transcript_10336.nnic	2	9
transcript_10337.known	221	280
transcript_10338.known	0	1
transcript_10339.known	56	58
transcript_1034.known	7	18
transcript_10340.known	8	10
transcript_10341.nnic	5	3
transcript_10343.known	2	3
